Shares,CUSIP,Ticker,SecurityName,PeriodOfReport,FilingId
14658121,00507V109,ATVIEUR,ACTIVISION BLIZZARD INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
14658121,00507V109,ATVIEUR,ACTIVISION BLIZZARD INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
14658121,00507V109,ATVIEUR,ACTIVISION BLIZZARD INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
29000000,02005N100,ALLY,ALLY FINANCIAL INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
29000000,02005N100,ALLY,ALLY FINANCIAL INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
29000000,02005N100,ALLY,ALLY FINANCIAL INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
29000000,02005N100,ALLY,ALLY FINANCIAL INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
29000000,02005N100,ALLY,ALLY FINANCIAL INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
29000000,02005N100,ALLY,ALLY FINANCIAL INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
10000000,023135106,AMZN,AMAZON.COM INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
10000000,023135106,AMZN,AMAZON.COM INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
10000000,023135106,AMZN,AMAZON.COM INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
10551000,023135106,AMZN,AMAZON.COM INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
10551000,023135106,AMZN,AMAZON.COM INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
10551000,023135106,AMZN,AMAZON.COM INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
151610700,025816109,AXP,AMERICAN EXPRESS CO,2023-09-30,c182294b5ef52122b03cc86c8d233a40
151610700,025816109,AXP,AMERICAN EXPRESS CO,2023-09-30,c182294b5ef52122b03cc86c8d233a40
151610700,025816109,AXP,AMERICAN EXPRESS CO,2023-09-30,c182294b5ef52122b03cc86c8d233a40
151610700,025816109,AXP,AMERICAN EXPRESS CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
151610700,025816109,AXP,AMERICAN EXPRESS CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
151610700,025816109,AXP,AMERICAN EXPRESS CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
915560382,037833100,AAPL,APPLE INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
915560382,037833100,AAPL,APPLE INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
915560382,037833100,AAPL,APPLE INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
915560382,037833100,AAPL,APPLE INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
915560382,037833100,AAPL,APPLE INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
915560382,037833100,AAPL,APPLE INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
223645,047726302,BATRK,ATLANTA BRAVES HOLDINGS IN-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
223645,047726302,BATRK,ATLANTA BRAVES HOLDINGS IN-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
223645,047726302,BATRK,ATLANTA BRAVES HOLDINGS IN-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
1032852006,060505104,BAC,BANK OF AMERICA CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
1032852006,060505104,BAC,BANK OF AMERICA CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
1032852006,060505104,BAC,BANK OF AMERICA CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
1032852006,060505104,BAC,BANK OF AMERICA CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
1032852006,060505104,BAC,BANK OF AMERICA CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
1032852006,060505104,BAC,BANK OF AMERICA CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
12471030,14040H105,COF,CAPITAL ONE FINANCIAL CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
12471030,14040H105,COF,CAPITAL ONE FINANCIAL CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
12471030,14040H105,COF,CAPITAL ONE FINANCIAL CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
12471030,14040H105,COF,CAPITAL ONE FINANCIAL CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
12471030,14040H105,COF,CAPITAL ONE FINANCIAL CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
12471030,14040H105,COF,CAPITAL ONE FINANCIAL CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
5358535,150870103,CE,CELANESE CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
5358535,150870103,CE,CELANESE CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
5358535,150870103,CE,CELANESE CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
3828941,16119P108,CHTR,CHARTER COMMUNICATIONS INC-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
3828941,16119P108,CHTR,CHARTER COMMUNICATIONS INC-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
3828941,16119P108,CHTR,CHARTER COMMUNICATIONS INC-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
3828941,16119P108,CHTR,CHARTER COMMUNICATIONS INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
3828941,16119P108,CHTR,CHARTER COMMUNICATIONS INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
3828941,16119P108,CHTR,CHARTER COMMUNICATIONS INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
110248289,166764100,CHV,CHEVRON CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
110248289,166764100,CHV,CHEVRON CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
110248289,166764100,CHV,CHEVRON CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
123120120,166764100,CHV,CHEVRON CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
123120120,166764100,CHV,CHEVRON CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
123120120,166764100,CHV,CHEVRON CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
55244797,172967424,TRVC,CITIGROUP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
55244797,172967424,TRVC,CITIGROUP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
55244797,172967424,TRVC,CITIGROUP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
55244797,172967424,TRVC,CITIGROUP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
55244797,172967424,TRVC,CITIGROUP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
55244797,172967424,TRVC,CITIGROUP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
400000000,191216100,KO,COCA-COLA CO/THE,2023-09-30,c182294b5ef52122b03cc86c8d233a40
400000000,191216100,KO,COCA-COLA CO/THE,2023-09-30,c182294b5ef52122b03cc86c8d233a40
400000000,191216100,KO,COCA-COLA CO/THE,2023-09-30,c182294b5ef52122b03cc86c8d233a40
400000000,191216100,KO,COCA-COLA CO/THE,2023-06-30,c8c53597c58fa2bd65356321c8febff6
400000000,191216100,KO,COCA-COLA CO/THE,2023-06-30,c8c53597c58fa2bd65356321c8febff6
400000000,191216100,KO,COCA-COLA CO/THE,2023-06-30,c8c53597c58fa2bd65356321c8febff6
5969714,23331A109,DHI,DR HORTON INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5969714,23331A109,DHI,DR HORTON INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5969714,23331A109,DHI,DR HORTON INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5969714,23331A109,DHI,DR HORTON INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
5969714,23331A109,DHI,DR HORTON INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
5969714,23331A109,DHI,DR HORTON INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
36095570,23918K108,TRL,DAVITA INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
36095570,23918K108,TRL,DAVITA INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
36095570,23918K108,TRL,DAVITA INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
36095570,23918K108,TRL,DAVITA INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
36095570,23918K108,TRL,DAVITA INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
36095570,23918K108,TRL,DAVITA INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
227750,25243Q205,DGED,DIAGEO PLC-SPONSORED ADR,2023-09-30,c182294b5ef52122b03cc86c8d233a40
227750,25243Q205,DGED,DIAGEO PLC-SPONSORED ADR,2023-09-30,c182294b5ef52122b03cc86c8d233a40
227750,25243Q205,DGED,DIAGEO PLC-SPONSORED ADR,2023-09-30,c182294b5ef52122b03cc86c8d233a40
227750,25243Q205,DGED,DIAGEO PLC-SPONSORED ADR,2023-06-30,c8c53597c58fa2bd65356321c8febff6
227750,25243Q205,DGED,DIAGEO PLC-SPONSORED ADR,2023-06-30,c8c53597c58fa2bd65356321c8febff6
227750,25243Q205,DGED,DIAGEO PLC-SPONSORED ADR,2023-06-30,c8c53597c58fa2bd65356321c8febff6
4780000,339750101,FND,FLOOR & DECOR HOLDINGS INC-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
4780000,339750101,FND,FLOOR & DECOR HOLDINGS INC-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
4780000,339750101,FND,FLOOR & DECOR HOLDINGS INC-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
4780000,339750101,FND,FLOOR & DECOR HOLDINGS INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
4780000,339750101,FND,FLOOR & DECOR HOLDINGS INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
4780000,339750101,FND,FLOOR & DECOR HOLDINGS INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
22000000,37045V100,GM,GENERAL MOTORS CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
22000000,37045V100,GM,GENERAL MOTORS CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
22000000,37045V100,GM,GENERAL MOTORS CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
831014,37959E102,GL,GLOBE LIFE INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
831014,37959E102,GL,GLOBE LIFE INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
831014,37959E102,GL,GLOBE LIFE INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
2515574,37959E102,GL,GLOBE LIFE INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
2515574,37959E102,GL,GLOBE LIFE INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
2515574,37959E102,GL,GLOBE LIFE INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
102519035,40434L105,7HP,HP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
102519035,40434L105,7HP,HP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
102519035,40434L105,7HP,HP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
120952818,40434L105,7HP,HP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
120952818,40434L105,7HP,HP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
120952818,40434L105,7HP,HP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
433558,47233W109,JEF,JEFFERIES FINANCIAL GROUP IN,2023-09-30,c182294b5ef52122b03cc86c8d233a40
433558,47233W109,JEF,JEFFERIES FINANCIAL GROUP IN,2023-09-30,c182294b5ef52122b03cc86c8d233a40
433558,47233W109,JEF,JEFFERIES FINANCIAL GROUP IN,2023-09-30,c182294b5ef52122b03cc86c8d233a40
433558,47233W109,JEF,JEFFERIES FINANCIAL GROUP IN,2023-06-30,c8c53597c58fa2bd65356321c8febff6
433558,47233W109,JEF,JEFFERIES FINANCIAL GROUP IN,2023-06-30,c8c53597c58fa2bd65356321c8febff6
433558,47233W109,JEF,JEFFERIES FINANCIAL GROUP IN,2023-06-30,c8c53597c58fa2bd65356321c8febff6
327100,478160104,JNJ,JOHNSON & JOHNSON,2023-06-30,c8c53597c58fa2bd65356321c8febff6
327100,478160104,JNJ,JOHNSON & JOHNSON,2023-06-30,c8c53597c58fa2bd65356321c8febff6
327100,478160104,JNJ,JOHNSON & JOHNSON,2023-06-30,c8c53597c58fa2bd65356321c8febff6
325634818,500754106,KHC,KRAFT HEINZ CO/THE,2023-09-30,c182294b5ef52122b03cc86c8d233a40
325634818,500754106,KHC,KRAFT HEINZ CO/THE,2023-09-30,c182294b5ef52122b03cc86c8d233a40
325634818,500754106,KHC,KRAFT HEINZ CO/THE,2023-09-30,c182294b5ef52122b03cc86c8d233a40
325634818,500754106,KHC,KRAFT HEINZ CO/THE,2023-06-30,c8c53597c58fa2bd65356321c8febff6
325634818,500754106,KHC,KRAFT HEINZ CO/THE,2023-06-30,c8c53597c58fa2bd65356321c8febff6
325634818,500754106,KHC,KRAFT HEINZ CO/THE,2023-06-30,c8c53597c58fa2bd65356321c8febff6
50000000,501044101,KR,KROGER CO,2023-09-30,c182294b5ef52122b03cc86c8d233a40
50000000,501044101,KR,KROGER CO,2023-09-30,c182294b5ef52122b03cc86c8d233a40
50000000,501044101,KR,KROGER CO,2023-09-30,c182294b5ef52122b03cc86c8d233a40
50000000,501044101,KR,KROGER CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
50000000,501044101,KR,KROGER CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
50000000,501044101,KR,KROGER CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-09-30,c182294b5ef52122b03cc86c8d233a40
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-09-30,c182294b5ef52122b03cc86c8d233a40
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-09-30,c182294b5ef52122b03cc86c8d233a40
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-06-30,c8c53597c58fa2bd65356321c8febff6
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-06-30,c8c53597c58fa2bd65356321c8febff6
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-06-30,c8c53597c58fa2bd65356321c8febff6
20207680,531229409,LM03,LIBERTY MEDIA COR-SIRIUSXM A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
20207680,531229409,LM03,LIBERTY MEDIA COR-SIRIUSXM A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
20207680,531229409,LM03,LIBERTY MEDIA COR-SIRIUSXM A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
43208291,531229607,LM0B,LIBERTY MEDIA COR-SIRIUSXM C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
43208291,531229607,LM0B,LIBERTY MEDIA COR-SIRIUSXM C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
43208291,531229607,LM0B,LIBERTY MEDIA COR-SIRIUSXM C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
11132590,531229722,LLYVK,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
11132590,531229722,LLYVK,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
11132590,531229722,LLYVK,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5051918,531229748,LLYVA,LIBERTY MEDIA CORP-LIBERTY-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5051918,531229748,LLYVA,LIBERTY MEDIA CORP-LIBERTY-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5051918,531229748,LLYVA,LIBERTY MEDIA CORP-LIBERTY-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
43208291,531229789,LM0C,LIBERTY MEDIA CORP-LIBER-NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
43208291,531229789,LM0C,LIBERTY MEDIA CORP-LIBER-NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
43208291,531229789,LM0C,LIBERTY MEDIA CORP-LIBER-NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
20207680,531229813,LSXMA1*,LIBERTY MEDIA CORP-CL A NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
20207680,531229813,LSXMA1*,LIBERTY MEDIA CORP-CL A NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
20207680,531229813,LSXMA1*,LIBERTY MEDIA CORP-CL A NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
158715,570535104,MKL,MARKEL GROUP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
158715,570535104,MKL,MARKEL GROUP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
158715,570535104,MKL,MARKEL GROUP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
471661,570535104,MKL,MARKEL GROUP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
471661,570535104,MKL,MARKEL GROUP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
471661,570535104,MKL,MARKEL GROUP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
3986648,57636Q104,MA,MASTERCARD INC - A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
3986648,57636Q104,MA,MASTERCARD INC - A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
3986648,57636Q104,MA,MASTERCARD INC - A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
3986648,57636Q104,MA,MASTERCARD INC - A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
3986648,57636Q104,MA,MASTERCARD INC - A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
3986648,57636Q104,MA,MASTERCARD INC - A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
578000,609207105,MDLZ,MONDELEZ INTERNATIONAL INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
578000,609207105,MDLZ,MONDELEZ INTERNATIONAL INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
578000,609207105,MDLZ,MONDELEZ INTERNATIONAL INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
24669778,615369105,DUT,MOODY'S CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
24669778,615369105,DUT,MOODY'S CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
