index,CUSIP,Ticker,SecurityName,Shares2023_06_30,Shares2023_09_30,DeltaAbsolute,DeltaRelative
5436,531229755,FWONK,LIBERTY MEDIA CORP-LIB-NEW-C,1298364,411642702,410344338,31604.7224045029
1008,088929104,BGC,BGC GROUP INC-A,2698278,497978586,495280308,18355.421791231296
5438,531229789,LM0C,LIBERTY MEDIA CORP-LIBER-NEW,2688702,443468706,440780004,16393.784212605187
767,047726302,BATRK,ATLANTA BRAVES HOLDINGS IN-C,525069,70466871,69941802,13320.497306068344
2152,25434D633,DGTSX,DFA GLBL ALL 25/75 PORT-I,1282344,77653596,76371252,5955.597873893433
2154,25434D674,DGEIX,DFA GLOBAL EQUITY PORT-INST,2649684,81075180,78425496,2959.8056221043717
2509,285046116,ELIWQ,TLG ACQUISITION ONE A -CW28,674289,19017975,18343686,2720.448650356153
3296,34965K107,FTRE,FORTREA HOLDINGS INC,8099187,149298510,141199323,1743.3765018637057
6889,74346M406,PMN,PROMIS NEUROSCIENCES INC,528315,8265072,7736757,1464.4212259731412
3366,35473P710,FLKR,FRANKLIN FTSE SOUTH KOREA,2539713,38441463,35901750,1413.6144517116695
8099,87283Q867,TCAF,T ROWE PRC CAP APPRECIATION,577476,8690997,8113521,1404.9970907881884
9141,96328L205,UP,WHEELS UP EXPERIENCE INC,27618531,386167458,358548927,1298.218674266202
2167,25434V633,DFCA,DIMENSIONAL CALFORNIA MB ETF,674538,8955066,8280528,1227.5851026925095
8600,91702V101,URC,URANIUM ROYALTY CORP,19713783,238899165,219185382,1111.8382605712968
3126,33739Q804,EIPX,FT ENERGY INC PARTNERS STRAT,1715778,19927599,18211821,1061.4322482279176
3550,37954Y194,ONOF,GLOBAL X ADAPTIVE U.S. RISK,821742,8779989,7958247,968.46053870923
8525,90466Y103,UNCY,UNICYCIVE THERAPEUTICS INC,3223458,32119215,28895757,896.4210794742788
6387,682310875,ONC,ONCOLYTICS BIOTECH INC,1779921,17404764,15624843,877.8391288152676
