Counter ,CUSIP,Ticker,SecurityName
1516,594918104,MSFT,MICROSOFT CORP
1407,023135106,AMZN,AMAZON.COM INC
1315,037833100,AAPL,APPLE INC
1260,02079K305,GOOGL,ALPHABET INC-CL A
1164,67066G104,NVDA,NVIDIA CORP
1146,30303M102,META,META PLATFORMS INC-CLASS A
1102,02079K107,GOOG,ALPHABET INC-CL C
1094,92826C839,V,VISA INC-CLASS A SHARES
1089,46625H100,JPM,JPMORGAN CHASE & CO
1066,78462F103,SPY,SPDR S&P 500 ETF TRUST
1060,478160104,JNJ,JOHNSON & JOHNSON
1050,084670702,BRK/B,BERKSHIRE HATHAWAY INC-CL B
1017,30231G102,XOM,EXXON MOBIL CORP
999,742718109,PG,PROCTER & GAMBLE CO/THE
990,166764100,CHV,CHEVRON CORP
959,437076102,HD,HOME DEPOT INC
957,58933Y105,MRK,MERCK & CO. INC.
957,91324P102,UNH,UNITEDHEALTH GROUP INC
920,57636Q104,MA,MASTERCARD INC - A
909,532457108,LLY,ELI LILLY & CO
909,713448108,PEP,PEPSICO INC
908,00287Y109,ABBV,ABBVIE INC
896,88160R101,TSLA,TESLA INC
896,580135101,MCD,MCDONALD'S CORP
888,22160K105,COST,COSTCO WHOLESALE CORP
883,717081103,PFE,PFIZER INC
878,17275R102,CSCO,CISCO SYSTEMS INC
869,931142103,WMT,WALMART INC
867,254687106,DIS,WALT DISNEY CO/THE
852,191216100,KO,COCA-COLA CO/THE
843,060505104,BAC,BANK OF AMERICA CORP
839,00724F101,ADBE,ADOBE INC
814,002824100,ABT,ABBOTT LABORATORIES
802,11135F101,AVGO,BROADCOM INC
787,68389X105,ORCL,ORACLE CORP
786,907818108,UNP,UNION PACIFIC CORP
782,92343V104,BAC,VERIZON COMMUNICATIONS INC
774,458140100,INTC,INTEL CORP
773,46090E103,NDQ,INVESCO QQQ TRUST SERIES 1
770,79466L302,CRM,SALESFORCE INC
768,031162100,AMGN,AMGEN INC
763,883556102,TMO,THERMO FISHER SCIENTIFIC INC
761,110122108,BMY,BRISTOL-MYERS SQUIBB CO
747,459200101,IBM,INTL BUSINESS MACHINES CORP
739,747525103,QCOM,QUALCOMM INC
738,20030N101,CMCSA,COMCAST CORP-CLASS A
728,539830109,LMT,LOCKHEED MARTIN CORP
728,149123101,CAT,CATERPILLAR INC
722,654106103,NKE,NIKE INC -CL B
719,855244109,SBUX,STARBUCKS CORP
719,548661107,LOW,LOWE'S COS INC
718,65339F101,NEE,NEXTERA ENERGY INC
714,235851102,DHR,DANAHER CORP
714,007903107,AMD,ADVANCED MICRO DEVICES
713,438516106,HON,HONEYWELL INTERNATIONAL INC
712,64110L106,NFLX,NETFLIX INC
709,464287200,IVV,ISHARES CORE S&P 500 ETF
709,882508104,TXN,TEXAS INSTRUMENTS INC
708,20825C104,COP,CONOCOPHILLIPS
704,75513E101,RTX,RTX CORP
701,097023105,BA,BOEING CO/THE
695,00206R102,T,AT&T INC
682,911312106,UPS,UNITED PARCEL SERVICE-CL B
674,126650100,CVS,CVS HEALTH CORP
659,244199105,DE,DEERE & CO
658,949746101,WFC,WELLS FARGO & CO
655,G1151C101,,
652,718172109,4I1,PHILIP MORRIS INTERNATIONAL
650,922908363,VOO,VANGUARD S&P 500 ETF
647,053015103,ADP,AUTOMATIC DATA PROCESSING
645,464287655,IWM,ISHARES RUSSELL 2000 ETF
641,025816109,AXP,AMERICAN EXPRESS CO
632,038222105,AMAT,APPLIED MATERIALS INC
630,922908769,VTI,VANGUARD TOTAL STOCK MKT ETF
621,G5960L103,,
618,70450Y103,PYPL,PAYPAL HOLDINGS INC
613,609207105,MDLZ,MONDELEZ INTERNATIONAL INC-A
608,38141G104,GS,GOLDMAN SACHS GROUP INC
599,369604301,GE,GENERAL ELECTRIC
599,872540109,TJX,TJX COMPANIES INC
592,09247X101,BLKCHF,BLACKROCK INC
592,461202103,INTU,INTUIT INC
589,808513105,SCHW,SCHWAB (CHARLES) CORP
587,291011104,EMR,EMERSON ELECTRIC CO
586,375558103,GILD,GILEAD SCIENCES INC
586,617446448,DWD,MORGAN STANLEY
581,88579Y101,MMM,3M CO
581,87612E106,DYH,TARGET CORP
578,81762P102,NOW,SERVICENOW INC
578,02209S103,MO,ALTRIA GROUP INC
574,874039100,TSM,TAIWAN SEMICONDUCTOR-SP ADR
573,697435105,PANW,PALO ALTO NETWORKS INC
571,90353T100,UBER,UBER TECHNOLOGIES INC
569,81369Y506,XLE,ENERGY SELECT SECTOR SPDR
566,03027X100,AMT,AMERICAN TOWER CORP
562,172967424,TRVC,CITIGROUP INC
562,78409V104,SPGI,S&P GLOBAL INC
561,345370860,F,FORD MOTOR CO
559,98978V103,ZTS,ZOETIS INC
557,464287804,IJR,ISHARES CORE S&P SMALL-CAP E
